n,gain_après_inter(en%),gain_après_2opt(en%)
3,0.0,3.0
3,0.0,0.0
3,0.0,7.000000000000001
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,6.0
3,0.0,1.0
3,7.000000000000001,7.000000000000001
3,0.0,0.0
3,2.0,2.0
3,0.0,1.0
3,0.0,7.000000000000001
3,0.0,1.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,8.0
3,0.0,0.0
3,0.0,0.0
3,0.0,8.0
3,0.0,0.0
3,0.0,12.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,2.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,3.0
3,0.0,0.0
4,0.0,17.0
4,0.0,0.0
